provinsi,kab_kota
Aceh,1. Kabupaten Aceh Barat
Aceh,2. Kabupaten Aceh Barat Daya
Aceh,3. Kabupaten Aceh Besar
Aceh,4. Kabupaten Aceh Jaya
Aceh,5. Kabupaten Aceh Selatan
Aceh,6. Kabupaten Aceh Singkil
Aceh,7. Kabupaten Aceh Tamiang
Aceh,8. Kabupaten Aceh Tengah
Aceh,9. Kabupaten Aceh Tenggara
Aceh,10. Kabupaten Aceh Timur
Aceh,11. Kabupaten Aceh Utara
Aceh,12. Kabupaten Bener Meriah
Aceh,13. Kabupaten Bireuen
Aceh,14. Kabupaten Gayo Lues
Aceh,15. Kabupaten Nagan Raya
Aceh,16. Kabupaten Pidie
Aceh,17. Kabupaten Pidie Jaya
Aceh,18. Kabupaten Simeulue
Aceh,19. Kota Banda Aceh
Aceh,20. Kota Langsa
Aceh,21. Kota Lhokseumawe
Aceh,22. Kota Sabang
Aceh,23. Kota Subulussalam
Sumatra Utara,1. Kabupaten Asahan
Sumatra Utara,2. Kabupaten Batubara
Sumatra Utara,3. Kabupaten Dairi
Sumatra Utara,4. Kabupaten Deli Serdang
Sumatra Utara,5. Kabupaten Humbang Hasundutan
Sumatra Utara,6. Kabupaten Karo
Sumatra Utara,7. Kabupaten Labuhanbatu
Sumatra Utara,8. Kabupaten Labuhanbatu Selatan
Sumatra Utara,9. Kabupaten Labuhanbatu Utara
Sumatra Utara,10. Kabupaten Langkat
Sumatra Utara,11. Kabupaten Mandailing Natal
Sumatra Utara,12. Kabupaten Nias
Sumatra Utara,13. Kabupaten Nias Barat
Sumatra Utara,14. Kabupaten Nias Selatan
Sumatra Utara,15. Kabupaten Nias Utara
Sumatra Utara,16. Kabupaten Padang Lawas
Sumatra Utara,17. Kabupaten Padang Lawas Utara
Sumatra Utara,18. Kabupaten Pakpak Bharat
Sumatra Utara,19. Kabupaten Samosir
Sumatra Utara,20. Kabupaten Serdang Bedagai
Sumatra Utara,21. Kabupaten Simalungun
Sumatra Utara,22. Kabupaten Tapanuli Selatan
Sumatra Utara,23. Kabupaten Tapanuli Tengah
Sumatra Utara,24. Kabupaten Tapanuli Utara
Sumatra Utara,25. Kabupaten Toba Samosir
Sumatra Utara,26. Kota Binjai
Sumatra Utara,27. Kota Gunungsitoli
Sumatra Utara,28. Kota Medan
Sumatra Utara,29. Kota Padangsidempuan
Sumatra Utara,30. Kota Pematangsiantar
Sumatra Utara,31. Kota Sibolga
Sumatra Utara,32. Kota Tanjungbalai
Sumatra Utara,33. Kota Tebing Tinggi
Sumatra Barat,1. Kabupaten Agam
Sumatra Barat,2. Kabupaten Dharmasraya
Sumatra Barat,3. Kabupaten Kepulauan Mentawai
Sumatra Barat,4. Kabupaten Lima Puluh Kota
Sumatra Barat,5. Kabupaten Padang Pariaman
Sumatra Barat,6. Kabupaten Pasaman
Sumatra Barat,7. Kabupaten Pasaman Barat
Sumatra Barat,8. Kabupaten Pesisir Selatan
Sumatra Barat,9. Kabupaten Sijunjung
Sumatra Barat,10. Kabupaten Solok
Sumatra Barat,11. Kabupaten Solok Selatan
Sumatra Barat,12. Kabupaten Tanah Datar
Sumatra Barat,13. Kota Bukittinggi
Sumatra Barat,14. Kota Padang
Sumatra Barat,15. Kota Padangpanjang
Sumatra Barat,16. Kota Pariaman
Sumatra Barat,17. Kota Payakumbuh
Sumatra Barat,18. Kota Sawahlunto
Sumatra Barat,19. Kota Solok
Sumatra Selatan,1. Kabupaten Banyuasin
Sumatra Selatan,2. Kabupaten Empat Lawang
Sumatra Selatan,3. Kabupaten Lahat
Sumatra Selatan,4. Kabupaten Muara Enim
Sumatra Selatan,5. Kabupaten Musi Banyuasin
Sumatra Selatan,6. Kabupaten Musi Rawas
Sumatra Selatan,7. Kabupaten Musi Rawas Utara
Sumatra Selatan,8. Kabupaten Ogan Ilir
Sumatra Selatan,9. Kabupaten Ogan Komering Ilir
Sumatra Selatan,10. Kabupaten Ogan Komering Ulu
Sumatra Selatan,11. Kabupaten Ogan Komering Ulu Selatan
Sumatra Selatan,12. Kabupaten Ogan Komering Ulu Timur
Sumatra Selatan,13. Kabupaten Penukal Abab Lematang Ilir
Sumatra Selatan,14. Kota Lubuklinggau
Sumatra Selatan,15. Kota Pagar Alam
Sumatra Selatan,16. Kota Palembang
Sumatra Selatan,17. Kota Prabumulih
Riau,1. Kabupaten Bengkalis
Riau,2. Kabupaten Indragiri Hilir
Riau,3. Kabupaten Indragiri Hulu
Riau,4. Kabupaten Kampar
Riau,5. Kabupaten Kepulauan Meranti
Riau,6. Kabupaten Kuantan Singingi
Riau,7. Kabupaten Pelalawan
Riau,8. Kabupaten Rokan Hilir
Riau,9. Kabupaten Rokan Hulu
Riau,10. Kabupaten Siak
Riau,11. Kota Dumai
Riau,12. Kota Pekanbaru
Kepulauan Riau,1. Kabupaten Bintan
Kepulauan Riau,2. Kabupaten Karimun
Kepulauan Riau,3. Kabupaten Kepulauan Anambas
Kepulauan Riau,4. Kabupaten Lingga
Kepulauan Riau,5. Kabupaten Natuna
Kepulauan Riau,6. Kota Batam
Kepulauan Riau,7. Kota Tanjung Pinang
Jambi,1. Kabupaten Batanghari
Jambi,2. Kabupaten Bungo
Jambi,3. Kabupaten Kerinci
Jambi,4. Kabupaten Merangin
Jambi,5. Kabupaten Muaro Jambi
Jambi,6. Kabupaten Sarolangun
Jambi,7. Kabupaten Tanjung Jabung Barat
Jambi,8. Kabupaten Tanjung Jabung Timur
Jambi,9. Kabupaten Tebo
Jambi,10. Kota Jambi
Jambi,11. Kota Sungai Penuh
Bengkulu,1. Kabupaten Bengkulu Selatan
Bengkulu,2. Kabupaten Bengkulu Tengah
Bengkulu,3. Kabupaten Bengkulu Utara
Bengkulu,4. Kabupaten Kaur
Bengkulu,5. Kabupaten Kepahiang
Bengkulu,6. Kabupaten Lebong
Bengkulu,7. Kabupaten Mukomuko
Bengkulu,8. Kabupaten Rejang Lebong
Bengkulu,9. Kabupaten Seluma
Bengkulu,10. Kota Bengkulu
Bangka Belitung,1. Kabupaten Bangka
Bangka Belitung,2. Kabupaten Bangka Barat
Bangka Belitung,3. Kabupaten Bangka Selatan
Bangka Belitung,4. Kabupaten Bangka Tengah
Bangka Belitung,5. Kabupaten Belitung
Bangka Belitung,6. Kabupaten Belitung Timur
Bangka Belitung,7. Kota Pangkal Pinang
Lampung,1. Kabupaten Lampung Tengah
Lampung,2. Kabupaten Lampung Utara
Lampung,3. Kabupaten Lampung Selatan
Lampung,4. Kabupaten Lampung Barat
Lampung,5. Kabupaten Lampung Timur
Lampung,6. Kabupaten Mesuji
Lampung,7. Kabupaten Pesawaran
Lampung,8. Kabupaten Pesisir Barat
Lampung,9. Kabupaten Pringsewu
Lampung,10. Kabupaten Tulang Bawang
Lampung,11. Kabupaten Tulang Bawang Barat
Lampung,12. Kabupaten Tanggamus
Lampung,13. Kabupaten Way Kanan
Lampung,14. Kota Bandar Lampung
Lampung,15. Kota Metro
Banten,1. Kabupaten Lebak
Banten,2. Kabupaten Pandeglang
Banten,3. Kabupaten Serang
Banten,4. Kabupaten Tangerang
Banten,5. Kota Cilegon
Banten,6. Kota Serang
Banten,7. Kota Tangerang
Banten,8. Kota Tangerang Selatan
Jawa Barat,1. Kabupaten Bandung
Jawa Barat,2. Kabupaten Bandung Barat
Jawa Barat,3. Kabupaten Bekasi
Jawa Barat,4. Kabupaten Bogor
Jawa Barat,5. Kabupaten Ciamis
Jawa Barat,6. Kabupaten Cianjur
Jawa Barat,7. Kabupaten Cirebon
Jawa Barat,8. Kabupaten Garut
Jawa Barat,9. Kabupaten Indramayu
Jawa Barat,10. Kabupaten Karawang
Jawa Barat,11. Kabupaten Kuningan
Jawa Barat,12. Kabupaten Majalengka
Jawa Barat,13. Kabupaten Pangandaran
Jawa Barat,14. Kabupaten Purwakarta
Jawa Barat,15. Kabupaten Subang
Jawa Barat,16. Kabupaten Sukabumi
Jawa Barat,17. Kabupaten Sumedang
Jawa Barat,18. Kabupaten Tasikmalaya
Jawa Barat,19. Kota Bandung
Jawa Barat,20. Kota Banjar
Jawa Barat,21. Kota Bekasi
Jawa Barat,22. Kota Bogor
Jawa Barat,23. Kota Cimahi
Jawa Barat,24. Kota Cirebon
Jawa Barat,25. Kota Depok
Jawa Barat,26. Kota Sukabumi
Jawa Barat,27. Kota Tasikmalaya
Jawa Tengah,1. Kabupaten Banjarnegara
Jawa Tengah,2. Kabupaten Banyumas
Jawa Tengah,3. Kabupaten Batang
Jawa Tengah,4. Kabupaten Blora
Jawa Tengah,5. Kabupaten Boyolali
Jawa Tengah,6. Kabupaten Brebes
Jawa Tengah,7. Kabupaten Cilacap
Jawa Tengah,8. Kabupaten Demak
Jawa Tengah,9. Kabupaten Grobogan
Jawa Tengah,10. Kabupaten Jepara
Jawa Tengah,11. Kabupaten Karanganyar
Jawa Tengah,12. Kabupaten Kebumen
Jawa Tengah,13. Kabupaten Kendal
Jawa Tengah,14. Kabupaten Klaten
Jawa Tengah,15. Kabupaten Kudus
Jawa Tengah,16. Kabupaten Magelang
Jawa Tengah,17. Kabupaten Pati
